name,owner,stars,createdAt,updatedAt,primaryLanguage,mergedPRs,releases,closedIssues,totalIssues
freecodecamp.cn,FreeCodeCampChina,36642,2016-09-30T03:13:43Z,2024-03-06T15:09:05Z,CSS,55,,445,584
tabler,tabler,36590,2018-02-01T09:08:59Z,2024-03-06T19:45:01Z,HTML,462,,805,866
bert,google-research,36581,2018-10-25T22:57:34Z,2024-03-06T14:57:25Z,Python,32,,352,1134
ColossalAI,hpcaitech,36567,2021-10-28T16:19:44Z,2024-03-06T16:35:40Z,Python,3131,,1176,1516
prisma,prisma,36538,2019-06-20T13:33:47Z,2024-03-06T19:53:56Z,TypeScript,5073,,6916,9795
wrk,wg,36442,2012-03-20T11:12:28Z,2024-03-06T14:40:21Z,C,0,,261,399
whisper.cpp,ggerganov,28592,2022-09-25T18:26:37Z,2024-03-06T18:45:07Z,C,434,,552,1026
jq,jqlang,28551,2012-07-18T19:57:25Z,2024-03-06T14:47:05Z,C,507,,1801,2154
AnotherRedisDesktopManager,qishibo,28526,2019-01-08T06:01:56Z,2024-03-06T13:07:23Z,JavaScript,136,,701,925
interactive-coding-challenges,donnemartin,28494,2015-04-28T21:36:39Z,2024-03-06T11:09:28Z,Python,176,,31,66
programmer-job-blacklist,shengxinjing,28458,2016-06-25T06:09:10Z,2024-03-06T15:16:42Z,Shell,28,,183,334
stanford_alpaca,tatsu-lab,28446,2023-03-10T23:33:09Z,2024-03-06T17:30:20Z,Python,6,,97,263
Sortable,SortableJS,28416,2013-12-19T10:10:13Z,2024-03-06T09:49:52Z,JavaScript,245,,1320,1752
todomvc,tastejs,28416,2011-06-03T19:56:33Z,2024-03-06T16:43:49Z,JavaScript,753,,656,774
lede,coolsnowwolf,28404,2017-09-06T07:39:03Z,2024-03-06T14:30:44Z,C,1879,,7557,8223
spaCy,explosion,28394,2014-07-03T15:15:40Z,2024-03-06T10:55:43Z,Python,3531,,5479,5561
swift-algorithm-club,kodecocodes,28364,2016-01-26T17:56:12Z,2024-03-06T18:08:29Z,Swift,608,,183,214
RSSHub,DIYgod,28303,2018-04-02T14:43:21Z,2024-03-06T18:35:30Z,TypeScript,7747,,4708,5001
portainer,portainer,28272,2016-05-19T20:15:28Z,2024-03-06T19:36:16Z,TypeScript,4254,,4962,5416
awesome-macos-command-line,herrbischoff,28238,2015-09-22T19:37:55Z,2024-03-06T19:56:15Z,,104,,0,0
slick,kenwheeler,28218,2014-03-24T02:10:05Z,2024-03-06T19:18:08Z,JavaScript,238,,2391,3592
detectron2,facebookresearch,28210,2019-09-05T21:30:20Z,2024-03-06T19:31:29Z,Python,0,,3043,3433
particles.js,VincentGarreau,28200,2014-09-06T14:29:47Z,2024-03-06T17:45:22Z,JavaScript,21,,105,403
jsoncrack.com,AykutSarac,28172,2022-01-30T15:25:18Z,2024-03-06T15:47:13Z,TypeScript,72,,175,215
composer,composer,28145,2011-06-08T08:53:00Z,2024-03-06T16:07:43Z,PHP,2765,,7443,7575
leetcode,doocs,28140,2018-09-16T14:03:03Z,2024-03-06T18:49:49Z,Java,2163,,37,37
jsPDF,parallax,28132,2009-12-06T14:56:32Z,2024-03-06T19:37:35Z,JavaScript,700,,2319,2450
postcss,postcss,28100,2013-09-24T23:06:48Z,2024-03-06T19:30:21Z,TypeScript,720,,941,960
hutool,dromara,28051,2014-04-13T07:23:51Z,2024-03-06T14:27:42Z,Java,394,,2596,2598
system-design,karanpratapsingh,28014,2022-08-15T18:59:54Z,2024-03-06T19:00:37Z,,11,,16,19
AI-Expert-Roadmap,AMAI-GmbH,28008,2020-10-24T21:49:40Z,2024-03-06T19:24:47Z,JavaScript,13,,46,63
expo,expo,27978,2016-08-15T17:14:25Z,2024-03-06T19:11:18Z,TypeScript,11883,,12711,13126
zed,zed-industries,27977,2021-02-20T03:01:06Z,2024-03-06T19:52:32Z,Rust,3909,,2640,4130
OpenAPI-Specification,OAI,27962,2014-03-03T16:53:36Z,2024-03-06T17:57:45Z,JavaScript,860,,1798,2151
linkedin-skill-assessments-quizzes,Ebazhanov,27944,2019-07-13T19:52:56Z,2024-03-06T18:31:56Z,,5574,,790,878
NewPipe,TeamNewPipe,27842,2015-09-03T23:39:26Z,2024-03-06T19:27:23Z,Java,1506,,7332,8485
ChatGPT,acheong08,27825,2022-12-03T14:35:24Z,2024-03-06T19:48:07Z,Python,294,,801,812
awesome-remote-job,lukasz-madon,27751,2015-01-02T00:31:34Z,2024-03-06T19:56:22Z,,549,,41,52
mattermost,mattermost,27716,2015-06-15T06:50:02Z,2024-03-06T17:48:28Z,TypeScript,15436,,7386,8021
lighthouse,GoogleChrome,27686,2016-03-08T01:03:11Z,2024-03-06T09:45:03Z,JavaScript,5093,,8327,8918
consul,hashicorp,27624,2013-11-04T22:15:27Z,2024-03-06T19:23:39Z,Go,12762,,4216,5346
cal.com,calcom,27598,2021-03-22T13:47:42Z,2024-03-06T19:29:53Z,TypeScript,6236,,5009,5661
sharp,lovell,27598,2013-08-19T20:24:24Z,2024-03-06T18:41:50Z,JavaScript,273,,3507,3614
druid,alibaba,27563,2011-11-03T05:12:51Z,2024-03-06T14:49:35Z,Java,1214,,2038,4185
cheerio,cheeriojs,27537,2011-10-09T04:23:20Z,2024-03-06T17:17:21Z,TypeScript,2064,,1118,1147
canal,alibaba,27478,2013-01-13T10:59:52Z,2024-03-06T11:24:48Z,Java,437,,3381,4364
TTS,coqui-ai,27475,2020-05-20T15:45:28Z,2024-03-06T19:37:56Z,Python,467,,938,988
linux-command,jaywcjlove,27441,2016-11-12T15:44:26Z,2024-03-06T12:47:34Z,Markdown,305,,115,174
generative-ai-for-beginners,microsoft,27430,2023-06-19T16:28:59Z,2024-03-06T19:47:06Z,Jupyter Notebook,184,,54,64
remote-jobs,remoteintech,27393,2015-10-13T03:49:25Z,2024-03-06T14:50:45Z,JavaScript,1201,,149,169
influxdb,influxdata,27393,2013-09-26T14:31:10Z,2024-03-06T17:48:40Z,Rust,9696,,11268,13117
etcher,balena-io,27364,2015-10-27T16:53:23Z,2024-03-06T17:25:59Z,TypeScript,1705,,1765,2130
python-guide,realpython,27350,2011-03-15T03:24:20Z,2024-03-06T12:07:50Z,Batchfile,681,,175,273
django-rest-framework,encode,27226,2011-03-02T17:13:56Z,2024-03-06T16:31:47Z,Python,2910,,3780,3857
faiss,facebookresearch,27224,2017-02-07T16:07:05Z,2024-03-06T18:44:48Z,C++,135,,1886,2298
underscore,jashkenas,27218,2009-10-25T18:31:06Z,2024-03-06T06:42:24Z,JavaScript,743,,1389,1419
go-zero,zeromicro,27186,2020-08-07T15:37:57Z,2024-03-06T17:52:21Z,Go,1855,,1126,1496
react-spring,pmndrs,27177,2018-03-07T15:39:32Z,2024-03-06T13:58:09Z,TypeScript,402,,1116,1208
pnpm,pnpm,27172,2016-01-28T07:40:43Z,2024-03-06T19:05:44Z,TypeScript,1989,,2508,3911
react-select,JedWatson,27117,2014-08-26T04:27:45Z,2024-03-06T17:46:06Z,TypeScript,1040,,3229,3537
fabric.js,fabricjs,27110,2010-06-09T22:24:38Z,2024-03-06T15:04:37Z,JavaScript,2101,,5549,5882
JCSprout,crossoverJie,27064,2017-12-17T09:06:50Z,2024-03-06T09:56:49Z,Java,69,,59,89
waifu2x,nagadomi,27060,2015-05-17T07:29:15Z,2024-03-06T19:44:26Z,Lua,68,,206,355
spring-cloud-alibaba,alibaba,27056,2017-12-01T20:49:15Z,2024-03-06T14:59:09Z,Java,950,,1930,2284
weui,Tencent,27038,2014-12-18T04:09:54Z,2024-03-06T16:00:28Z,Less,195,,614,663
legacy-homebrew,Homebrew,27031,2009-05-20T19:38:37Z,2024-03-05T15:36:19Z,,222,,17028,17028
rocksdb,facebook,27028,2012-11-30T06:16:18Z,2024-03-06T12:53:41Z,C++,601,,2486,3072
ShareX,ShareX,27003,2013-10-08T23:32:10Z,2024-03-06T14:53:23Z,C#,734,,5667,6172
GitHubDaily,GitHubDaily,26962,2018-12-30T13:56:58Z,2024-03-06T11:29:48Z,,3,,166,384
kafka,apache,26961,2011-08-15T18:06:16Z,2024-03-06T12:17:02Z,Java,7881,,0,0
yapi,YMFE,26941,2016-05-30T09:09:09Z,2024-03-06T13:22:34Z,JavaScript,141,,912,2420
remix,remix-run,26847,2020-10-26T19:57:28Z,2024-03-06T17:18:31Z,TypeScript,3007,,2013,2187
folly,facebook,26837,2012-06-01T20:49:04Z,2024-03-06T19:39:19Z,C++,5,,732,1090
tqdm,tqdm,27115,2015-06-03T13:13:14Z,2024-03-06T17:28:52Z,Python,279,,578,964
Faker,fzaninotto,26784,2011-10-14T22:49:02Z,2024-03-06T15:04:07Z,PHP,823,,494,570
Awesome,Awesome-Windows,26710,2016-05-30T17:27:35Z,2024-03-06T19:56:34Z,,206,,82,140
typst,typst,26705,2019-09-24T21:41:56Z,2024-03-06T19:38:22Z,Rust,853,,1255,1820
immer,immerjs,26705,2017-12-29T12:25:47Z,2024-03-06T17:51:09Z,JavaScript,350,,604,638
ResumeSample,geekcompany,26700,2014-09-08T08:08:13Z,2024-03-06T17:22:25Z,,2,,0,0
hangzhou_house_knowledge,houshanren,26682,2018-02-24T01:54:18Z,2024-03-06T13:43:44Z,CSS,6,,48,146
JavaScript30,wesbos,26503,2016-12-07T19:15:31Z,2024-03-06T19:27:32Z,HTML,151,,0,0
Clone-Wars,GorvGoyl,26485,2020-12-02T11:10:16Z,2024-03-06T18:39:04Z,,126,,67,76
gitflow,nvie,26467,2010-01-20T23:14:12Z,2024-03-06T06:01:02Z,Shell,36,,126,361
rethinkdb,rethinkdb,26464,2012-10-30T05:37:47Z,2024-03-06T03:23:42Z,C++,460,,5041,6381
pytorch-lightning,Lightning-AI,26379,2019-03-31T00:45:57Z,2024-03-06T19:48:05Z,Python,8514,,6140,6772
rufus,pbatard,26371,2011-11-19T19:12:05Z,2024-03-06T17:26:01Z,C,1,,2198,2207
the-super-tiny-compiler,jamiebuilds,26357,2016-03-11T04:19:18Z,2024-03-06T14:31:21Z,JavaScript,20,,0,0
YesPlayMusic,qier222,26352,2020-10-09T10:04:21Z,2024-03-06T17:03:33Z,Vue,272,,1139,1650
docsify,docsifyjs,26270,2016-11-20T07:55:43Z,2024-03-06T16:30:10Z,JavaScript,634,,1051,1235
Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,CamDavidsonPilon,26255,2013-01-14T15:46:28Z,2024-03-06T19:47:54Z,Jupyter Notebook,243,,90,244
data-science-ipython-notebooks,donnemartin,26227,2015-01-23T19:38:29Z,2024-03-06T19:38:21Z,Python,31,,22,39
xxl-job,xuxueli,26191,2015-11-28T12:59:34Z,2024-03-06T13:31:31Z,Java,98,,1764,2927
gitbook,GitbookIO,26161,2014-03-31T03:01:56Z,2024-03-06T17:17:42Z,JavaScript,214,,0,0
ToolJet,ToolJet,26070,2021-03-30T08:51:34Z,2024-03-06T14:58:53Z,JavaScript,4155,,3112,3684
miaosha,qiurunze123,26015,2018-09-14T04:36:24Z,2024-03-06T16:57:21Z,Java,20,,78,78
kit,go-kit,25990,2015-02-03T00:01:19Z,2024-03-06T09:38:56Z,Go,478,,524,560
croc,schollz,25971,2017-10-17T15:20:18Z,2024-03-06T18:51:55Z,Go,169,,329,427
commander.js,tj,25909,2011-08-14T21:33:58Z,2024-03-06T16:13:26Z,JavaScript,706,,1040,1050
xstate,statelyai,25887,2015-09-14T15:04:15Z,2024-03-06T13:39:28Z,TypeScript,1783,,1219,1275
milvus,milvus-io,25819,2019-09-16T06:43:43Z,2024-03-06T19:25:03Z,Go,16623,,9631,10175
fetch,JakeChampion,25803,2014-10-13T00:26:19Z,2024-03-06T08:04:32Z,JavaScript,196,,646,649
Data-Science-For-Beginners,microsoft,25801,2021-03-03T16:30:15Z,2024-03-06T19:38:26Z,Jupyter Notebook,293,,95,113
nprogress,rstacruz,25800,2013-08-20T13:58:02Z,2024-03-06T15:25:25Z,JavaScript,34,,52,154
dokku,dokku,25784,2013-06-08T10:26:57Z,2024-03-06T19:08:48Z,Shell,3343,,2611,2631
helm,helm,25783,2015-10-06T01:07:32Z,2024-03-06T17:44:57Z,Go,3558,,7236,7544
react-virtualized,bvaughn,25783,2015-11-03T00:48:07Z,2024-03-06T10:03:44Z,JavaScript,453,,740,1186
google-research,google-research,32371,2018-10-04T18:42:48Z,2024-03-06T19:31:06Z,Jupyter Notebook,29,,309,1153
tmux,tmux,32320,2015-06-03T23:32:55Z,2024-03-06T18:14:26Z,C,1,,3198,3256
interview,huihut,32318,2018-02-09T09:49:48Z,2024-03-06T17:46:23Z,C++,35,,40,62
material-design-lite,google,32274,2015-01-14T22:01:33Z,2024-03-06T01:55:07Z,HTML,655,,1812,2181
Fooocus,lllyasviel,32239,2023-08-09T18:43:40Z,2024-03-06T19:45:19Z,Python,337,,1063,1210
googletest,google,32228,2015-07-28T15:07:53Z,2024-03-06T19:27:54Z,C++,798,,1933,2186
FastChat,lm-sys,32153,2023-03-19T00:18:02Z,2024-03-06T18:39:52Z,Python,755,,961,1545
ShadowsocksX-NG,shadowsocks,32090,2016-06-10T11:49:00Z,2024-03-06T15:05:58Z,Swift,63,,1043,1344
ImHex,WerWolv,32084,2020-11-10T14:27:00Z,2024-03-06T15:33:40Z,C++,451,,771,963
jieba,fxsjy,32079,2012-09-29T07:52:01Z,2024-03-06T15:01:50Z,Python,96,,225,839
novu,novuhq,32076,2021-08-26T15:22:44Z,2024-03-06T18:35:14Z,TypeScript,3142,,1106,1381
zxing,zxing,32059,2011-10-12T14:07:27Z,2024-03-06T16:11:37Z,Java,285,,1244,1249
carbon-lang,carbon-language,32053,2020-04-27T21:45:16Z,2024-03-06T19:55:06Z,C++,2460,,462,569
react-beautiful-dnd,atlassian,32051,2017-08-09T03:37:15Z,2024-03-06T15:26:48Z,JavaScript,525,,1039,1581
ijkplayer,bilibili,32028,2013-06-03T04:12:04Z,2024-03-06T15:14:34Z,C,35,,2530,5308
pocketbase,pocketbase,32008,2022-07-05T06:06:21Z,2024-03-06T18:08:26Z,Go,47,,1174,1211
trpc,trpc,31991,2020-07-18T01:17:11Z,2024-03-06T19:26:31Z,TypeScript,3038,,911,990
compose,docker,31969,2013-12-09T11:40:58Z,2024-03-06T17:45:26Z,Go,2981,,7158,7347
vaultwarden,dani-garcia,31807,2018-02-17T22:40:20Z,2024-03-06T19:39:50Z,Rust,731,,1867,1877
pandoc,jgm,31782,2010-03-20T20:34:23Z,2024-03-06T19:11:02Z,Haskell,1527,,6301,7315
photoprism,photoprism,31782,2018-01-27T12:00:15Z,2024-03-06T18:22:50Z,Go,574,,1623,2037
HanLP,hankcs,31738,2014-10-09T06:36:16Z,2024-03-06T16:00:03Z,Python,77,,1388,1397
spring-boot-demo,xkcoding,31705,2017-11-10T06:27:29Z,2024-03-06T16:48:39Z,Java,15,,71,161
DeepSpeed,microsoft,31697,2020-01-23T18:35:18Z,2024-03-06T19:48:05Z,Python,2068,,1545,2401
tldraw,tldraw,31638,2021-05-09T11:48:37Z,2024-03-06T19:50:19Z,TypeScript,1441,,409,735
marked,markedjs,31566,2011-07-24T13:15:51Z,2024-03-06T18:15:59Z,JavaScript,1272,,1417,1438
LeetCode-Go,halfrost,31525,2017-07-18T00:06:14Z,2024-03-06T16:19:17Z,Go,173,,60,74
TrafficMonitor,zhongyang219,31516,2017-07-30T02:51:17Z,2024-03-06T17:57:44Z,C++,43,,623,1595
android-open-project,Trinea,31467,2014-01-05T15:20:15Z,2024-03-06T15:26:51Z,,204,,71,82
REKCARC-TSC-UHT,PKUanonym,31415,2019-04-05T03:31:23Z,2024-03-06T17:44:22Z,HTML,144,,27,29
Files,files-community,31375,2019-01-04T18:19:14Z,2024-03-06T19:54:24Z,C#,4656,,8828,9230
Awesome-Design-Tools,goabstract,31326,2019-02-12T13:55:30Z,2024-03-06T19:56:00Z,JavaScript,283,,25,34
cli,httpie,31321,2012-02-25T12:39:13Z,2024-03-06T18:51:58Z,Python,398,,690,851
lapce,lapce,31272,2018-02-06T08:41:06Z,2024-03-06T19:48:36Z,Rust,961,,1029,1714
husky,typicode,31235,2014-06-23T12:14:21Z,2024-03-06T19:05:40Z,JavaScript,246,,949,966
bevy,bevyengine,31225,2020-01-18T21:13:55Z,2024-03-06T19:50:36Z,Rust,2340,,2847,4321
gitness,harness,31217,2014-02-07T07:54:44Z,2024-03-06T13:49:46Z,Go,1012,,1778,1907
awesome-awesomeness,bayandin,31103,2014-07-08T05:44:19Z,2024-03-06T18:07:51Z,Ruby,197,,52,66
framework,laravel,31089,2013-01-10T21:27:28Z,2024-03-06T18:49:15Z,PHP,14652,,17680,17689
fd,sharkdp,30993,2017-05-09T21:27:10Z,2024-03-06T18:53:00Z,Rust,533,,724,817
jQuery-File-Upload,blueimp,30991,2010-12-01T15:35:32Z,2024-03-06T18:22:10Z,PHP,119,,3259,3308
appsmith,appsmithorg,30976,2020-06-30T04:07:36Z,2024-03-06T18:06:14Z,TypeScript,10738,,14715,18210
bark,suno-ai,30849,2023-04-07T19:34:48Z,2024-03-06T18:49:21Z,Jupyter Notebook,19,,224,390
htmx,bigskysoftware,30804,2020-04-13T16:17:51Z,2024-03-06T19:39:09Z,JavaScript,662,,715,1119
halo,halo-dev,30781,2018-03-21T12:56:52Z,2024-03-06T14:19:35Z,Java,1739,,2923,3256
JavaScript,TheAlgorithms,30764,2017-07-13T06:12:33Z,2024-03-06T18:01:40Z,JavaScript,766,,188,190
graphql-engine,hasura,30723,2018-06-18T07:57:36Z,2024-03-06T11:58:12Z,TypeScript,2109,,3845,5896
beego,beego,30709,2012-02-29T02:32:08Z,2024-03-06T18:06:00Z,Go,1254,,3304,3311
ccxt,ccxt,30704,2017-05-14T15:41:56Z,2024-03-06T19:17:11Z,Python,10126,,8807,9600
fiber,gofiber,30684,2020-01-16T03:59:20Z,2024-03-06T16:07:00Z,Go,1358,,1238,1308
certbot,certbot,30674,2014-11-12T02:52:20Z,2024-03-06T06:00:59Z,Python,3732,,5040,5262
run,The-Run-Philosophy-Organization,30653,2022-04-10T05:42:40Z,2024-03-06T14:31:24Z,,172,,212,248
solid,solidjs,30632,2018-04-24T16:36:27Z,2024-03-06T19:34:37Z,TypeScript,333,,846,909
streamlit,streamlit,30566,2019-08-24T00:14:52Z,2024-03-06T18:54:23Z,Python,3512,,3226,3958
easyexcel,alibaba,30545,2018-02-06T03:14:08Z,2024-03-06T18:10:42Z,Java,165,,2824,3261
awesome-shell,alebcay,30524,2014-07-07T01:57:42Z,2024-03-06T19:56:03Z,,307,,21,56
slidev,slidevjs,30359,2021-04-24T01:25:23Z,2024-03-06T18:40:28Z,TypeScript,368,,799,828
Blog,mqyqingfeng,30298,2017-03-13T10:04:33Z,2024-03-06T16:17:53Z,,3,,98,314
NeteaseCloudMusicApi,Binaryify,30253,2016-06-22T11:58:03Z,2024-03-06T08:09:28Z,,292,,1190,1337
ray,ray-project,30219,2016-10-25T19:38:30Z,2024-03-06T19:48:04Z,Python,21245,,13801,16889
fastify,fastify,30184,2016-09-28T19:10:14Z,2024-03-06T19:43:14Z,JavaScript,2609,,1817,1881
chinese-independent-developer,1c7,30111,2017-09-21T11:08:23Z,2024-03-06T18:55:41Z,,184,,93,96
sqlmap,sqlmapproject,30098,2012-06-26T09:52:15Z,2024-03-06T18:39:10Z,Python,161,,5070,5119
awesome-php,ziadoz,30084,2013-11-26T03:14:19Z,2024-03-06T19:56:11Z,,419,,130,131
Coursera-ML-AndrewNg-Notes,fengdu78,30036,2017-11-04T10:04:08Z,2024-03-06T18:01:35Z,HTML,13,,16,68
rxjs,ReactiveX,30008,2015-03-15T06:17:10Z,2024-03-06T14:36:56Z,TypeScript,2584,,2925,3138
p3c,alibaba,30006,2017-06-23T06:15:51Z,2024-03-06T10:27:54Z,Kotlin,62,,697,848
libpku,lib-pku,29974,2018-11-22T13:33:06Z,2024-03-06T17:44:31Z,TeX,22,,31,41
nanoGPT,karpathy,29961,2022-12-28T00:51:12Z,2024-03-06T19:48:08Z,Python,42,,89,268
vimrc,amix,29939,2012-05-29T16:19:29Z,2024-03-06T15:25:24Z,Vim Script,107,,507,508
HEAD,joshbuchea,29839,2016-04-20T20:05:37Z,2024-03-06T05:54:25Z,,86,,73,93
spring-boot-examples,ityouknow,29802,2016-11-05T05:32:33Z,2024-03-06T09:39:07Z,Java,7,,99,106
chatgpt-web,Chanzhaoyu,29774,2023-02-09T03:21:37Z,2024-03-06T19:01:34Z,Vue,154,,1686,1698
vue-cli,vuejs,29752,2015-12-26T23:11:20Z,2024-03-06T16:07:52Z,JavaScript,1258,,4551,5479
dotfiles,mathiasbynens,29680,2011-09-05T18:07:54Z,2024-03-06T19:20:10Z,Shell,44,,247,386
swc,swc-project,29656,2017-12-22T11:40:14Z,2024-03-06T15:29:37Z,Rust,4409,,2909,3211
yew,yewstack,29637,2017-12-16T14:19:02Z,2024-03-06T17:14:48Z,MDX,1673,,1107,1217
foundation-sites,foundation,29600,2011-10-13T23:05:42Z,2024-03-06T16:07:43Z,HTML,2950,,8143,8211
localsend,localsend,29574,2022-12-16T00:46:07Z,2024-03-06T19:56:29Z,Dart,343,,331,632
html2canvas,niklasvh,29566,2011-07-16T01:05:58Z,2024-03-06T15:17:46Z,TypeScript,186,,1649,2547
daisyui,saadeghi,29540,2020-11-28T22:57:27Z,2024-03-06T19:46:12Z,Svelte,253,,1410,1469
lottie-web,airbnb,29505,2015-02-20T21:02:59Z,2024-03-06T16:06:50Z,JavaScript,128,,2113,2817
openpose,CMU-Perceptual-Computing-Lab,29452,2017-04-24T14:06:31Z,2024-03-06T17:12:37Z,C++,173,,1656,1942
modern-unix,ibraheemdev,29416,2021-01-12T00:50:14Z,2024-03-06T19:54:40Z,,10,,15,78
termux-app,termux,29416,2015-10-23T09:42:46Z,2024-03-06T19:12:43Z,Java,141,,2217,2523
vault,hashicorp,29386,2015-02-25T00:15:59Z,2024-03-06T16:57:40Z,Go,16881,,4908,5901
phantomjs,ariya,29382,2010-12-27T08:18:58Z,2024-03-06T17:19:00Z,C++,562,,4731,4745
learnGitBranching,pcottle,29377,2012-08-13T22:36:09Z,2024-03-06T16:29:29Z,JavaScript,552,,437,462
react-boilerplate,react-boilerplate,29338,2015-02-18T14:36:32Z,2024-03-06T08:44:33Z,JavaScript,715,,1822,1900
30-Days-Of-Python,Asabeneh,29325,2019-11-19T17:24:16Z,2024-03-06T17:46:16Z,Python,42,,67,97
nushell,nushell,29312,2019-05-10T16:59:42Z,2024-03-06T16:41:29Z,Rust,5845,,3763,4980
zod,colinhacks,29275,2020-03-07T20:59:08Z,2024-03-06T19:32:54Z,TypeScript,390,,1413,1712
Summer2024-Internships,SimplifyJobs,29270,2020-05-23T20:53:18Z,2024-03-06T19:36:29Z,,1667,,1773,1776
Python,geekcomputers,29267,2011-11-30T09:04:08Z,2024-03-06T19:48:04Z,Python,1375,,126,375
AI-For-Beginners,microsoft,29237,2021-03-03T16:27:36Z,2024-03-06T19:55:54Z,Jupyter Notebook,101,,70,97
