name,owner,stars,createdAt,updatedAt,primaryLanguage,mergedPRs,releases,closedIssues,totalIssues
linux-insides,0xAX,29237,2015-01-03T18:44:57Z,2024-03-06T09:05:43Z,Python,572,,151,179
zig,ziglang,29222,2015-08-06T00:51:28Z,2024-03-06T19:40:59Z,Zig,7153,,7450,10122
v2rayNG,2dust,29220,2019-05-15T02:15:31Z,2024-03-06T16:14:20Z,Kotlin,181,,2247,2392
es6features,lukehoban,29199,2014-03-03T18:29:30Z,2024-03-06T16:53:05Z,,41,,36,57
COVID-19,CSSEGISandData,29191,2020-02-04T22:03:53Z,2024-03-05T19:45:08Z,,2152,,2079,3759
awesome-remote-job,lukasz-madon,27751,2015-01-02T00:31:34Z,2024-03-06T19:56:22Z,,549,,41,52
ComfyUI,comfyanonymous,27749,2023-01-17T03:15:56Z,2024-03-06T19:54:50Z,Python,327,,630,1836
mattermost,mattermost,27716,2015-06-15T06:50:02Z,2024-03-06T17:48:28Z,TypeScript,15436,,7386,8021
lighthouse,GoogleChrome,27686,2016-03-08T01:03:11Z,2024-03-06T09:45:03Z,JavaScript,5093,,8327,8918
consul,hashicorp,27624,2013-11-04T22:15:27Z,2024-03-06T19:23:39Z,Go,12762,,4216,5346
cal.com,calcom,27598,2021-03-22T13:47:42Z,2024-03-06T19:29:53Z,TypeScript,6236,,5009,5661
sharp,lovell,27598,2013-08-19T20:24:24Z,2024-03-06T18:41:50Z,JavaScript,273,,3507,3614
machine-learning-for-software-engineers,ZuzooVn,27596,2016-10-09T21:20:25Z,2024-03-06T03:16:12Z,,58,,9,24
SpringAll,wuyouzhuguli,27580,2018-05-02T02:48:44Z,2024-03-06T15:38:06Z,Java,1,,27,47
druid,alibaba,27563,2011-11-03T05:12:51Z,2024-03-06T14:49:35Z,Java,1214,,2038,4185
cheerio,cheeriojs,27537,2011-10-09T04:23:20Z,2024-03-06T17:17:21Z,TypeScript,2064,,1118,1147
canal,alibaba,27478,2013-01-13T10:59:52Z,2024-03-06T11:24:48Z,Java,437,,3381,4364
TTS,coqui-ai,27475,2020-05-20T15:45:28Z,2024-03-06T19:37:56Z,Python,467,,938,988
linux-command,jaywcjlove,27441,2016-11-12T15:44:26Z,2024-03-06T12:47:34Z,Markdown,305,,115,174
generative-ai-for-beginners,microsoft,27430,2023-06-19T16:28:59Z,2024-03-06T19:47:06Z,Jupyter Notebook,184,,54,64
remote-jobs,remoteintech,27393,2015-10-13T03:49:25Z,2024-03-06T14:50:45Z,JavaScript,1201,,149,169
influxdb,influxdata,27393,2013-09-26T14:31:10Z,2024-03-06T17:48:40Z,Rust,9696,,11268,13117
etcher,balena-io,27364,2015-10-27T16:53:23Z,2024-03-06T17:25:59Z,TypeScript,1705,,1765,2130
python-guide,realpython,27350,2011-03-15T03:24:20Z,2024-03-06T12:07:50Z,Batchfile,681,,175,273
django-rest-framework,encode,27226,2011-03-02T17:13:56Z,2024-03-06T16:31:47Z,Python,2910,,3780,3857
faiss,facebookresearch,27224,2017-02-07T16:07:05Z,2024-03-06T18:44:48Z,C++,135,,1886,2298
underscore,jashkenas,27218,2009-10-25T18:31:06Z,2024-03-06T06:42:24Z,JavaScript,743,,1389,1419
Daily-Interview-Question,Advanced-Frontend,27217,2019-01-19T10:49:00Z,2024-03-06T13:51:51Z,JavaScript,15,,297,557
go-zero,zeromicro,27186,2020-08-07T15:37:57Z,2024-03-06T17:52:21Z,Go,1855,,1126,1496
react-spring,pmndrs,27177,2018-03-07T15:39:32Z,2024-03-06T13:58:09Z,TypeScript,402,,1116,1208
pnpm,pnpm,27172,2016-01-28T07:40:43Z,2024-03-06T19:05:44Z,TypeScript,1989,,2508,3911
react-select,JedWatson,27117,2014-08-26T04:27:45Z,2024-03-06T17:46:06Z,TypeScript,1040,,3229,3537
fabric.js,fabricjs,27110,2010-06-09T22:24:38Z,2024-03-06T15:04:37Z,JavaScript,2101,,5549,5882
mobx,mobxjs,27079,2015-03-14T14:31:38Z,2024-03-06T18:38:53Z,TypeScript,1089,,1887,1925
v2ray-core,v2fly,27077,2019-04-15T10:05:54Z,2024-03-06T15:32:00Z,Go,739,,833,880
JCSprout,crossoverJie,27064,2017-12-17T09:06:50Z,2024-03-06T09:56:49Z,Java,69,,59,89
waifu2x,nagadomi,27060,2015-05-17T07:29:15Z,2024-03-06T19:44:26Z,Lua,68,,206,355
spring-cloud-alibaba,alibaba,27056,2017-12-01T20:49:15Z,2024-03-06T14:59:09Z,Java,950,,1930,2284
weui,Tencent,27038,2014-12-18T04:09:54Z,2024-03-06T16:00:28Z,Less,195,,614,663
legacy-homebrew,Homebrew,27031,2009-05-20T19:38:37Z,2024-03-05T15:36:19Z,,222,,17028,17028
rocksdb,facebook,27028,2012-11-30T06:16:18Z,2024-03-06T12:53:41Z,C++,601,,2486,3072
ShareX,ShareX,27003,2013-10-08T23:32:10Z,2024-03-06T14:53:23Z,C#,734,,5667,6172
ControlNet,lllyasviel,26966,2023-02-01T02:43:30Z,2024-03-06T18:33:00Z,Python,5,,125,497
GitHubDaily,GitHubDaily,26962,2018-12-30T13:56:58Z,2024-03-06T11:29:48Z,,3,,166,384
kafka,apache,26961,2011-08-15T18:06:16Z,2024-03-06T12:17:02Z,Java,7881,,0,0
yapi,YMFE,26941,2016-05-30T09:09:09Z,2024-03-06T13:22:34Z,JavaScript,141,,912,2420
weekly,ascoders,26902,2017-03-20T06:10:04Z,2024-03-06T19:56:32Z,JavaScript,134,,360,361
immich,immich-app,26874,2022-02-03T15:56:27Z,2024-03-06T19:26:54Z,TypeScript,2891,,1983,2299
remix,remix-run,26847,2020-10-26T19:57:28Z,2024-03-06T17:18:31Z,TypeScript,3007,,2013,2187
folly,facebook,26837,2012-06-01T20:49:04Z,2024-03-06T19:39:19Z,C++,5,,732,1090
tqdm,tqdm,27115,2015-06-03T13:13:14Z,2024-03-06T17:28:52Z,Python,279,,578,964
vhr,lenve,26799,2018-01-04T08:57:51Z,2024-03-06T14:38:30Z,Java,1,,95,251
Faker,fzaninotto,26784,2011-10-14T22:49:02Z,2024-03-06T15:04:07Z,PHP,823,,494,570
Awesome,Awesome-Windows,26710,2016-05-30T17:27:35Z,2024-03-06T19:56:34Z,,206,,82,140
typst,typst,26705,2019-09-24T21:41:56Z,2024-03-06T19:38:22Z,Rust,853,,1255,1820
immer,immerjs,26705,2017-12-29T12:25:47Z,2024-03-06T17:51:09Z,JavaScript,350,,604,638
ResumeSample,geekcompany,26700,2014-09-08T08:08:13Z,2024-03-06T17:22:25Z,,2,,0,0
hangzhou_house_knowledge,houshanren,26682,2018-02-24T01:54:18Z,2024-03-06T13:43:44Z,CSS,6,,48,146
handson-ml2,ageron,26619,2019-01-08T03:49:07Z,2024-03-06T18:29:36Z,Jupyter Notebook,64,,297,502
JavaScript30,wesbos,26503,2016-12-07T19:15:31Z,2024-03-06T19:27:32Z,HTML,151,,0,0
Clone-Wars,GorvGoyl,26485,2020-12-02T11:10:16Z,2024-03-06T18:39:04Z,,126,,67,76
gitflow,nvie,26467,2010-01-20T23:14:12Z,2024-03-06T06:01:02Z,Shell,36,,126,361
rethinkdb,rethinkdb,26464,2012-10-30T05:37:47Z,2024-03-06T03:23:42Z,C++,460,,5041,6381
pytorch-lightning,Lightning-AI,26379,2019-03-31T00:45:57Z,2024-03-06T19:48:05Z,Python,8514,,6140,6772
rufus,pbatard,26371,2011-11-19T19:12:05Z,2024-03-06T17:26:01Z,C,1,,2198,2207
the-super-tiny-compiler,jamiebuilds,26357,2016-03-11T04:19:18Z,2024-03-06T14:31:21Z,JavaScript,20,,0,0
YesPlayMusic,qier222,26352,2020-10-09T10:04:21Z,2024-03-06T17:03:33Z,Vue,272,,1139,1650
docsify,docsifyjs,26270,2016-11-20T07:55:43Z,2024-03-06T16:30:10Z,JavaScript,634,,1051,1235
Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,CamDavidsonPilon,26255,2013-01-14T15:46:28Z,2024-03-06T19:47:54Z,Jupyter Notebook,243,,90,244
data-science-ipython-notebooks,donnemartin,26227,2015-01-23T19:38:29Z,2024-03-06T19:38:21Z,Python,31,,22,39
xxl-job,xuxueli,26191,2015-11-28T12:59:34Z,2024-03-06T13:31:31Z,Java,98,,1764,2927
os-tutorial,cfenollosa,26177,2014-09-29T08:39:34Z,2024-03-06T15:58:19Z,C,11,,101,171
editor.js,codex-team,26173,2015-11-28T20:56:35Z,2024-03-06T19:23:21Z,TypeScript,781,,855,1384
gitbook,GitbookIO,26161,2014-03-31T03:01:56Z,2024-03-06T17:17:42Z,JavaScript,214,,0,0
Detectron,facebookresearch,26102,2017-10-05T17:32:00Z,2024-03-06T15:24:17Z,Python,0,,619,925
ToolJet,ToolJet,26070,2021-03-30T08:51:34Z,2024-03-06T14:58:53Z,JavaScript,4155,,3112,3684
miaosha,qiurunze123,26015,2018-09-14T04:36:24Z,2024-03-06T16:57:21Z,Java,20,,78,78
Complete-Python-3-Bootcamp,Pierian-Data,26002,2018-02-12T19:30:10Z,2024-03-06T19:55:34Z,Jupyter Notebook,12,,211,332
kit,go-kit,25990,2015-02-03T00:01:19Z,2024-03-06T09:38:56Z,Go,478,,524,560
croc,schollz,25971,2017-10-17T15:20:18Z,2024-03-06T18:51:55Z,Go,169,,329,427
commander.js,tj,25909,2011-08-14T21:33:58Z,2024-03-06T16:13:26Z,JavaScript,706,,1040,1050
nodemon,remy,25908,2010-10-03T12:50:52Z,2024-03-06T16:07:42Z,JavaScript,303,,1621,1629
aseprite,aseprite,25908,2014-08-19T23:44:50Z,2024-03-06T13:52:24Z,C++,237,,2154,3638
xstate,statelyai,25887,2015-09-14T15:04:15Z,2024-03-06T13:39:28Z,TypeScript,1783,,1219,1275
penpot,penpot,25858,2015-12-29T22:09:07Z,2024-03-06T19:07:21Z,Clojure,2478,,951,1269
milvus,milvus-io,25819,2019-09-16T06:43:43Z,2024-03-06T19:25:03Z,Go,16623,,9631,10175
fetch,JakeChampion,25803,2014-10-13T00:26:19Z,2024-03-06T08:04:32Z,JavaScript,196,,646,649
Data-Science-For-Beginners,microsoft,25801,2021-03-03T16:30:15Z,2024-03-06T19:38:26Z,Jupyter Notebook,293,,95,113
nprogress,rstacruz,25800,2013-08-20T13:58:02Z,2024-03-06T15:25:25Z,JavaScript,34,,52,154
dokku,dokku,25784,2013-06-08T10:26:57Z,2024-03-06T19:08:48Z,Shell,3343,,2611,2631
helm,helm,25783,2015-10-06T01:07:32Z,2024-03-06T17:44:57Z,Go,3558,,7236,7544
react-virtualized,bvaughn,25783,2015-11-03T00:48:07Z,2024-03-06T10:03:44Z,JavaScript,453,,740,1186
backstage,backstage,25780,2020-01-24T22:39:49Z,2024-03-06T19:37:41Z,TypeScript,14385,,4821,5280
applied-ml,eugeneyan,25726,2020-07-04T18:57:47Z,2024-03-06T15:45:21Z,,207,,22,24
OpenBBTerminal,OpenBB-finance,25722,2020-12-20T10:46:38Z,2024-03-06T15:46:14Z,Python,3493,,1757,2012
vagrant,hashicorp,25715,2010-01-21T08:34:27Z,2024-03-06T19:32:02Z,Ruby,2669,,8811,9455
request,request,25655,2011-01-23T01:25:14Z,2024-03-06T17:29:12Z,JavaScript,650,,2174,2272
Modernizr,Modernizr,25598,2009-09-25T20:13:23Z,2024-03-06T05:12:39Z,JavaScript,805,,1318,1487
netron,lutzroeder,25593,2010-12-26T12:53:43Z,2024-03-06T19:38:50Z,JavaScript,1,,1025,1051
fastjson,alibaba,25586,2011-11-03T06:58:52Z,2024-03-06T14:43:23Z,Java,418,,1681,3579
butterknife,JakeWharton,25581,2013-03-05T08:18:59Z,2024-03-06T09:18:20Z,Java,346,,1088,1187
memos,usememos,25576,2021-12-08T15:30:18Z,2024-03-06T17:03:33Z,Go,1261,,1373,1439
ink,vadimdemedes,25518,2017-06-12T06:12:28Z,2024-03-06T15:24:09Z,TypeScript,201,,286,332
Python-programming-exercises,zhiwehu,25476,2012-06-14T07:56:46Z,2024-03-06T11:09:57Z,,0,,12,75
cmder,cmderdev,25474,2013-07-09T07:44:22Z,2024-03-06T12:18:59Z,C++,420,,2208,2246
faiss,facebookresearch,27224,2017-02-07T16:07:05Z,2024-03-06T18:44:48Z,C++,135,,1886,2298
underscore,jashkenas,27218,2009-10-25T18:31:06Z,2024-03-06T06:42:24Z,JavaScript,743,,1389,1419
Daily-Interview-Question,Advanced-Frontend,27217,2019-01-19T10:49:00Z,2024-03-06T13:51:51Z,JavaScript,15,,297,557
mmdetection,open-mmlab,27208,2018-08-22T07:06:06Z,2024-03-06T16:25:51Z,Python,2358,,6641,7918
go-zero,zeromicro,27186,2020-08-07T15:37:57Z,2024-03-06T17:52:21Z,Go,1855,,1126,1496
react-spring,pmndrs,27177,2018-03-07T15:39:32Z,2024-03-06T13:58:09Z,TypeScript,402,,1116,1208
pnpm,pnpm,27172,2016-01-28T07:40:43Z,2024-03-06T19:05:44Z,TypeScript,1989,,2508,3911
react-select,JedWatson,27117,2014-08-26T04:27:45Z,2024-03-06T17:46:06Z,TypeScript,1040,,3229,3537
fabric.js,fabricjs,27110,2010-06-09T22:24:38Z,2024-03-06T15:04:37Z,JavaScript,2101,,5549,5882
mobx,mobxjs,27079,2015-03-14T14:31:38Z,2024-03-06T18:38:53Z,TypeScript,1089,,1887,1925
v2ray-core,v2fly,27077,2019-04-15T10:05:54Z,2024-03-06T15:32:00Z,Go,739,,833,880
JCSprout,crossoverJie,27064,2017-12-17T09:06:50Z,2024-03-06T09:56:49Z,Java,69,,59,89
waifu2x,nagadomi,27060,2015-05-17T07:29:15Z,2024-03-06T19:44:26Z,Lua,68,,206,355
spring-cloud-alibaba,alibaba,27056,2017-12-01T20:49:15Z,2024-03-06T14:59:09Z,Java,950,,1930,2284
weui,Tencent,27038,2014-12-18T04:09:54Z,2024-03-06T16:00:28Z,Less,195,,614,663
legacy-homebrew,Homebrew,27031,2009-05-20T19:38:37Z,2024-03-05T15:36:19Z,,222,,17028,17028
rocksdb,facebook,27028,2012-11-30T06:16:18Z,2024-03-06T12:53:41Z,C++,601,,2486,3072
css-protips,AllThingsSmitty,27026,2015-08-29T12:29:03Z,2024-03-06T19:56:26Z,,66,,58,59
ShareX,ShareX,27003,2013-10-08T23:32:10Z,2024-03-06T14:53:23Z,C#,734,,5667,6172
ControlNet,lllyasviel,26966,2023-02-01T02:43:30Z,2024-03-06T18:33:00Z,Python,5,,125,497
GitHubDaily,GitHubDaily,26962,2018-12-30T13:56:58Z,2024-03-06T11:29:48Z,,3,,166,384
kafka,apache,26961,2011-08-15T18:06:16Z,2024-03-06T12:17:02Z,Java,7881,,0,0
yapi,YMFE,26941,2016-05-30T09:09:09Z,2024-03-06T13:22:34Z,JavaScript,141,,912,2420
gradio,gradio-app,26930,2018-12-19T08:24:04Z,2024-03-06T19:45:25Z,Python,2994,,3360,3814
jax,google,26920,2018-10-25T21:25:02Z,2024-03-06T19:21:05Z,Python,8595,,3722,4976
weekly,ascoders,26902,2017-03-20T06:10:04Z,2024-03-06T19:56:32Z,JavaScript,134,,360,361
nginxconfig.io,digitalocean,26900,2018-01-05T14:21:14Z,2024-03-06T14:29:04Z,JavaScript,180,,180,230
immich,immich-app,26874,2022-02-03T15:56:27Z,2024-03-06T19:26:54Z,TypeScript,2891,,1983,2299
remix,remix-run,26847,2020-10-26T19:57:28Z,2024-03-06T17:18:31Z,TypeScript,3007,,2013,2187
folly,facebook,26837,2012-06-01T20:49:04Z,2024-03-06T19:39:19Z,C++,5,,732,1090
tqdm,tqdm,27115,2015-06-03T13:13:14Z,2024-03-06T17:28:52Z,Python,279,,578,964
vhr,lenve,26799,2018-01-04T08:57:51Z,2024-03-06T14:38:30Z,Java,1,,95,251
Faker,fzaninotto,26784,2011-10-14T22:49:02Z,2024-03-06T15:04:07Z,PHP,823,,494,570
Awesome,Awesome-Windows,26710,2016-05-30T17:27:35Z,2024-03-06T19:56:34Z,,206,,82,140
typst,typst,26705,2019-09-24T21:41:56Z,2024-03-06T19:38:22Z,Rust,853,,1255,1820
immer,immerjs,26705,2017-12-29T12:25:47Z,2024-03-06T17:51:09Z,JavaScript,350,,604,638
ResumeSample,geekcompany,26700,2014-09-08T08:08:13Z,2024-03-06T17:22:25Z,,2,,0,0
hangzhou_house_knowledge,houshanren,26682,2018-02-24T01:54:18Z,2024-03-06T13:43:44Z,CSS,6,,48,146
handson-ml2,ageron,26619,2019-01-08T03:49:07Z,2024-03-06T18:29:36Z,Jupyter Notebook,64,,297,502
angular-cli,angular,26574,2015-06-04T19:49:37Z,2024-03-06T19:26:13Z,TypeScript,9587,,14768,15021
reverse-interview,viraptor,26555,2019-09-08T13:38:40Z,2024-03-06T18:47:28Z,,71,,17,25
JavaScript30,wesbos,26503,2016-12-07T19:15:31Z,2024-03-06T19:27:32Z,HTML,151,,0,0
Clone-Wars,GorvGoyl,26485,2020-12-02T11:10:16Z,2024-03-06T18:39:04Z,,126,,67,76
mongoose,Automattic,26484,2010-04-06T21:39:05Z,2024-03-06T18:43:40Z,JavaScript,2843,,10354,10605
codemirror5,codemirror,26483,2011-01-14T13:44:03Z,2024-03-06T18:26:37Z,JavaScript,589,,3773,4177
gitflow,nvie,26467,2010-01-20T23:14:12Z,2024-03-06T06:01:02Z,Shell,36,,126,361
rethinkdb,rethinkdb,26464,2012-10-30T05:37:47Z,2024-03-06T03:23:42Z,C++,460,,5041,6381
alpine,alpinejs,26415,2019-11-28T13:51:55Z,2024-03-06T17:04:12Z,HTML,605,,597,597
pytorch-lightning,Lightning-AI,26379,2019-03-31T00:45:57Z,2024-03-06T19:48:05Z,Python,8514,,6140,6772
rufus,pbatard,26371,2011-11-19T19:12:05Z,2024-03-06T17:26:01Z,C,1,,2198,2207
the-super-tiny-compiler,jamiebuilds,26357,2016-03-11T04:19:18Z,2024-03-06T14:31:21Z,JavaScript,20,,0,0
YesPlayMusic,qier222,26352,2020-10-09T10:04:21Z,2024-03-06T17:03:33Z,Vue,272,,1139,1650
ace,ajaxorg,26291,2010-10-27T10:43:36Z,2024-03-06T15:16:51Z,JavaScript,1738,,2927,3039
docsify,docsifyjs,26270,2016-11-20T07:55:43Z,2024-03-06T16:30:10Z,JavaScript,634,,1051,1235
Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,CamDavidsonPilon,26255,2013-01-14T15:46:28Z,2024-03-06T19:47:54Z,Jupyter Notebook,243,,90,244
data-science-ipython-notebooks,donnemartin,26227,2015-01-23T19:38:29Z,2024-03-06T19:38:21Z,Python,31,,22,39
xxl-job,xuxueli,26191,2015-11-28T12:59:34Z,2024-03-06T13:31:31Z,Java,98,,1764,2927
os-tutorial,cfenollosa,26177,2014-09-29T08:39:34Z,2024-03-06T15:58:19Z,C,11,,101,171
editor.js,codex-team,26173,2015-11-28T20:56:35Z,2024-03-06T19:23:21Z,TypeScript,781,,855,1384
gitbook,GitbookIO,26161,2014-03-31T03:01:56Z,2024-03-06T17:17:42Z,JavaScript,214,,0,0
Detectron,facebookresearch,26102,2017-10-05T17:32:00Z,2024-03-06T15:24:17Z,Python,0,,619,925
CheatSheetSeries,OWASP,26081,2018-12-21T14:26:43Z,2024-03-06T19:11:47Z,Python,822,,371,411
ToolJet,ToolJet,26070,2021-03-30T08:51:34Z,2024-03-06T14:58:53Z,JavaScript,4155,,3112,3684
python-fire,google,26051,2017-02-21T21:35:07Z,2024-03-06T18:48:09Z,Python,76,,184,306
k3s,k3s-io,26031,2018-05-31T01:37:46Z,2024-03-06T19:28:37Z,Go,3104,,5164,5322
miaosha,qiurunze123,26015,2018-09-14T04:36:24Z,2024-03-06T16:57:21Z,Java,20,,78,78
Complete-Python-3-Bootcamp,Pierian-Data,26002,2018-02-12T19:30:10Z,2024-03-06T19:55:34Z,Jupyter Notebook,12,,211,332
kit,go-kit,25990,2015-02-03T00:01:19Z,2024-03-06T09:38:56Z,Go,478,,524,560
croc,schollz,25971,2017-10-17T15:20:18Z,2024-03-06T18:51:55Z,Go,169,,329,427
numpy,numpy,25911,2010-09-13T23:02:39Z,2024-03-06T19:32:16Z,Python,11098,,10328,12225
commander.js,tj,25909,2011-08-14T21:33:58Z,2024-03-06T16:13:26Z,JavaScript,706,,1040,1050
nodemon,remy,25908,2010-10-03T12:50:52Z,2024-03-06T16:07:42Z,JavaScript,303,,1621,1629
aseprite,aseprite,25908,2014-08-19T23:44:50Z,2024-03-06T13:52:24Z,C++,237,,2154,3638
xstate,statelyai,25887,2015-09-14T15:04:15Z,2024-03-06T13:39:28Z,TypeScript,1783,,1219,1275
penpot,penpot,25858,2015-12-29T22:09:07Z,2024-03-06T19:07:21Z,Clojure,2478,,951,1269
milvus,milvus-io,25819,2019-09-16T06:43:43Z,2024-03-06T19:25:03Z,Go,16623,,9631,10175
fetch,JakeChampion,25803,2014-10-13T00:26:19Z,2024-03-06T08:04:32Z,JavaScript,196,,646,649
Data-Science-For-Beginners,microsoft,25801,2021-03-03T16:30:15Z,2024-03-06T19:38:26Z,Jupyter Notebook,293,,95,113
nprogress,rstacruz,25800,2013-08-20T13:58:02Z,2024-03-06T15:25:25Z,JavaScript,34,,52,154
dokku,dokku,25784,2013-06-08T10:26:57Z,2024-03-06T19:08:48Z,Shell,3343,,2611,2631
helm,helm,25783,2015-10-06T01:07:32Z,2024-03-06T17:44:57Z,Go,3558,,7236,7544
react-virtualized,bvaughn,25783,2015-11-03T00:48:07Z,2024-03-06T10:03:44Z,JavaScript,453,,740,1186
backstage,backstage,25780,2020-01-24T22:39:49Z,2024-03-06T19:37:41Z,TypeScript,14385,,4821,5280
select2,select2,25764,2012-03-04T18:43:12Z,2024-03-06T05:52:59Z,JavaScript,708,,4697,4788
applied-ml,eugeneyan,25726,2020-07-04T18:57:47Z,2024-03-06T15:45:21Z,,207,,22,24
OpenBBTerminal,OpenBB-finance,25722,2020-12-20T10:46:38Z,2024-03-06T15:46:14Z,Python,3493,,1757,2012
vagrant,hashicorp,25715,2010-01-21T08:34:27Z,2024-03-06T19:32:02Z,Ruby,2669,,8811,9455
maybe,maybe-finance,25664,2024-01-01T22:23:46Z,2024-03-06T18:53:21Z,Ruby,210,,155,156
request,request,25655,2011-01-23T01:25:14Z,2024-03-06T17:29:12Z,JavaScript,650,,2174,2272
servo,servo,25622,2012-02-08T19:07:25Z,2024-03-06T19:08:37Z,,15750,,8953,12175
Modernizr,Modernizr,25598,2009-09-25T20:13:23Z,2024-03-06T05:12:39Z,JavaScript,805,,1318,1487
the_silver_searcher,ggreer,25594,2011-11-19T19:50:47Z,2024-03-06T16:38:14Z,C,399,,410,837
netron,lutzroeder,25593,2010-12-26T12:53:43Z,2024-03-06T19:38:50Z,JavaScript,1,,1025,1051
fastjson,alibaba,25586,2011-11-03T06:58:52Z,2024-03-06T14:43:23Z,Java,418,,1681,3579
butterknife,JakeWharton,25581,2013-03-05T08:18:59Z,2024-03-06T09:18:20Z,Java,346,,1088,1187
memos,usememos,25576,2021-12-08T15:30:18Z,2024-03-06T17:03:33Z,Go,1261,,1373,1439
